,sum_tx_ether,avg_tx_gas_cost,tx_date
768,1291717.2888224763,0.00033996554215951885,2020-02-08
769,1310580.8392595255,0.00030020754487079923,2020-02-09
770,1821774.1681710687,0.00031442489784943743,2020-02-10
771,1435328.1082011068,0.0003039309648263916,2020-02-11
772,2762795.7286033803,0.00035869550365329433,2020-02-12
773,2301908.566189799,0.0003939834254664741,2020-02-13
774,1906917.7851569129,0.00037449729173033515,2020-02-14
775,1880175.9009708904,0.0003690952373055416,2020-02-15
776,1672352.154004569,0.00037489944018253863,2020-02-16
777,2666616.0749572045,0.0003651649934169213,2020-02-17
778,2257510.6542405426,0.0003289262081939018,2020-02-18
779,1772044.3905531554,0.00034820578381633153,2020-02-19
780,2265546.3759291503,0.0003475149816004645,2020-02-20
781,1706633.5565917462,0.0002915392859762462,2020-02-21
782,923837.9374278735,0.00030671563159578104,2020-02-22
783,1243176.2130694115,0.0003865311409842251,2020-02-23
784,1704871.7040026214,0.00036276580029987333,2020-02-24
785,1869801.5848014422,0.00035233161177798043,2020-02-25
786,2845247.829444073,0.0004071283981679918,2020-02-26
787,2674979.9193124087,0.0003612167064011932,2020-02-27
788,1799090.7702096961,0.00034528785403485824,2020-02-28
789,1149899.6007504934,0.00030313046477270766,2020-02-29
790,1652311.8073672787,0.00033841702517814113,2020-03-01
791,2519388.0200308636,0.0003170699754652975,2020-03-02
792,1758695.5946403416,0.00034279890904587347,2020-03-03
793,1486282.7627189753,0.00033843104350324234,2020-03-04
794,1733072.5031051994,0.00035849305394002864,2020-03-05
795,1862173.223047532,0.0003603306723086725,2020-03-06
796,1185232.181127206,0.00033742752928450723,2020-03-07
797,1869233.628938116,0.00041162296026666696,2020-03-08
798,3827401.9849207625,0.00045545794712295286,2020-03-09
799,2622809.3423774014,0.0003963856617201029,2020-03-10
800,2442104.3484088606,0.0004227775950842703,2020-03-11
801,9222032.851643372,0.0023566171133633904,2020-03-12
802,8175603.1019484745,0.0022615519709292043,2020-03-13
803,3171747.6780717126,0.0004929638637113464,2020-03-14
804,3125722.2088813935,0.000418394351886899,2020-03-15
805,6250756.8244376965,0.0008786881056920398,2020-03-16
806,3322504.34469464,0.0005057031474631536,2020-03-17
807,2767126.8589143963,0.00044951173890285127,2020-03-18
808,3811219.39607517,0.0005756394720689206,2020-03-19
809,3760887.7391802124,0.0004916303850738661,2020-03-20
810,1685189.532002669,0.0003767511914339153,2020-03-21
811,1733288.2566350186,0.00036233376601257596,2020-03-22
812,2629250.293171036,0.000410609571805158,2020-03-23
813,4365082.033434121,0.0003855239201161964,2020-03-24
814,2310429.2689616047,0.0003884378468949581,2020-03-25
815,2110298.1456038435,0.00033522057335657473,2020-03-26
816,1713499.2413991555,0.0003323179414617716,2020-03-27
817,1872736.161340629,0.00034621785597384314,2020-03-28
818,1211018.2465689813,0.0003131605541422715,2020-03-29
819,1648135.1745278644,0.0003408122126019551,2020-03-30
820,2080070.4641057102,0.00039507909136204185,2020-03-31
821,1425230.6858903694,0.00038724212542893134,2020-04-01
822,2229788.4205020177,0.00042404434160210283,2020-04-02
823,2202461.224311718,0.00040238282302887786,2020-04-03
824,1184794.0548961363,0.0003684280089337138,2020-04-04
825,962548.9602217186,0.0003479876140162945,2020-04-05
826,2698077.5678909584,0.00045041207995014977,2020-04-06
827,2813136.085903581,0.0004358287713096751,2020-04-07
828,1827081.306619383,0.00035329561543099317,2020-04-08
829,1526755.8707751734,0.00041497828331172416,2020-04-09
830,3086283.8538163416,0.00041870147209738923,2020-04-10
831,993770.9752207273,0.00040724476847947886,2020-04-11
832,1076219.9639393059,0.00032211841271952987,2020-04-12
833,2106144.9037950085,0.00037796278509174424,2020-04-13
834,1365479.5805099702,0.0003851595984786746,2020-04-14
835,1376860.9832935142,0.00037256160660800703,2020-04-15
